0,4GF
1,4GF
2,4GF
3,4GF
4,4GF
5,4GF
6,4GF
7,4GF
8,4G
9,4GF
10,4GF
11,4GF
12,4G
13,4G
14,4GF
15,4GF
16,4G
17,4G
18,4GF
19,4G
20,4GF
21,4GF
22,4G
23,4GF
24,4GF
25,4GF
26,4G
27,4G
28,4G
29,4G
30,4GF
31,4GF
32,4G
33,4G
34,4GF
35,4GF
36,4GF
37,4GF
38,4GF
39,4GF
40,4GF
41,4GF
42,4G
43,4GF
44,4GF
45,4GF
46,4GF
47,4G
48,4G
49,4G
50,4G
51,4GF
52,4GF
53,4GF
54,4GF
55,4GF
56,4G
57,4GF
58,4GF
59,4G
60,4GF
61,4GF
62,4GF
63,4G
64,4GF
65,4G
66,4G
67,4G
68,4G
69,4G
70,4GF
71,4GF
72,4G
73,4GF
74,4GF
75,4GF
76,4G
77,4GF
78,4GF
79,4GF
80,4GF
81,4GF
82,4G
83,4GF
84,4GF
85,4GF
86,4G
87,4GF
88,4G
89,4GF
90,4GF
91,4G
92,4G
93,4GF
94,4GF
95,4GF
96,4GF
97,4G
98,4G
99,4GF
100,4GF
101,4G
102,4GF
103,4G
104,4GF
105,4GF
106,4G
107,4GF
108,4G
109,4GF
110,4G
111,4GF
112,4GF
113,4G
114,4G
115,4GF
116,4GF
117,4GF
118,4GF
119,4GF
120,4GF
121,4G
122,4G
123,4GF
124,4G
125,4G
126,4G
127,4GF
128,4G
129,4G
130,4G
131,4G
132,4GF
133,4G
134,4GF
135,4GF
136,4GF
137,4GF
138,4GF
139,4GF
140,4G
141,4GF
142,4GF
143,4GF
144,4G
145,4G
146,4G
147,4GF
148,4GF
149,4G
150,4GF
151,4GF
152,4GF
153,4GF
154,4GF
155,4G
156,4G
157,4GF
158,4GF
159,4GF
160,4GF
161,4G
162,4GF
163,4GF
164,4GF
165,4G
166,4GF
167,4GF
168,4GF
169,4GF
170,4GF
171,4GF
172,4GF
173,4GF
174,4GF
175,4GF
176,4GF
177,4GF
178,4G
179,4GF
